Date;Survey;Borough;Measure;Proportion;MPS
31/12/2017;PAS;City of Westminster;Trust MPS;0,9;0,86
31/03/2018;PAS;Barking and Dagenham;Trust MPS;0,86;0,86
31/03/2018;PAS;Barnet;Trust MPS;0,85;0,86
31/03/2018;PAS;Bexley;Trust MPS;0,9;0,86
31/03/2018;PAS;Brent;Trust MPS;0,82;0,86
31/03/2018;PAS;Bromley;Trust MPS;0,87;0,86
31/03/2018;PAS;Camden;Trust MPS;0,89;0,86
31/03/2018;PAS;Croydon;Trust MPS;0,82;0,86
31/03/2018;PAS;Ealing;Trust MPS;0,85;0,86
31/03/2018;PAS;Enfield;Trust MPS;0,79;0,86
31/03/2018;PAS;Greenwich;Trust MPS;0,87;0,86
31/03/2018;PAS;Hackney;Trust MPS;0,78;0,86
31/03/2018;PAS;Hammersmith and Fulham;Trust MPS;0,9;0,86
31/03/2018;PAS;Haringey;Trust MPS;0,75;0,86
31/03/2018;PAS;Harrow;Trust MPS;0,82;0,86
31/03/2018;PAS;Havering;Trust MPS;0,89;0,86
31/03/2018;PAS;Hillingdon;Trust MPS;0,85;0,86
31/03/2018;PAS;Hounslow;Trust MPS;0,86;0,86
31/03/2018;PAS;Islington;Trust MPS;0,86;0,86
31/03/2018;PAS;Kensington and Chelsea;Trust MPS;0,92;0,86
31/03/2018;PAS;Kingston upon Thames;Trust MPS;0,88;0,86
31/03/2018;PAS;Lambeth;Trust MPS;0,87;0,86
31/03/2018;PAS;Lewisham;Trust MPS;0,83;0,86
31/03/2018;PAS;Merton;Trust MPS;0,9;0,86
31/03/2018;PAS;Newham;Trust MPS;0,88;0,86
31/03/2018;PAS;Redbridge;Trust MPS;0,88;0,86
31/03/2018;PAS;Richmond upon Thames;Trust MPS;0,9;0,86
31/03/2018;PAS;Southwark;Trust MPS;0,85;0,86
31/03/2018;PAS;Sutton;Trust MPS;0,92;0,86
31/03/2018;PAS;Tower Hamlets;Trust MPS;0,88;0,86
31/03/2018;PAS;Waltham Forest;Trust MPS;0,8;0,86
31/03/2018;PAS;Wandsworth;Trust MPS;0,9;0,86
31/03/2018;PAS;City of Westminster;Trust MPS;0,92;0,86
30/06/2018;PAS;Barking and Dagenham;Trust MPS;0,84;0,85
30/06/2018;PAS;Barnet;Trust MPS;0,85;0,85
30/06/2018;PAS;Bexley;Trust MPS;0,89;0,85
30/06/2018;PAS;Brent;Trust MPS;0,8;0,85
30/06/2018;PAS;Bromley;Trust MPS;0,86;0,85
30/06/2018;PAS;Camden;Trust MPS;0,89;0,85
30/06/2018;PAS;Croydon;Trust MPS;0,81;0,85
30/06/2018;PAS;Ealing;Trust MPS;0,85;0,85
30/06/2018;PAS;Enfield;Trust MPS;0,82;0,85
30/06/2018;PAS;Greenwich;Trust MPS;0,87;0,85
30/06/2018;PAS;Hackney;Trust MPS;0,82;0,85
30/06/2018;PAS;Hammersmith and Fulham;Trust MPS;0,89;0,85
30/06/2018;PAS;Haringey;Trust MPS;0,75;0,85
30/06/2018;PAS;Harrow;Trust MPS;0,82;0,85
30/06/2018;PAS;Havering;Trust MPS;0,87;0,85
30/06/2018;PAS;Hillingdon;Trust MPS;0,85;0,85
30/06/2018;PAS;Hounslow;Trust MPS;0,85;0,85
30/06/2018;PAS;Islington;Trust MPS;0,86;0,85
30/06/2018;PAS;Kensington and Chelsea;Trust MPS;0,92;0,85
30/06/2018;PAS;Kingston upon Thames;Trust MPS;0,88;0,85
30/06/2018;PAS;Lambeth;Trust MPS;0,86;0,85
30/06/2018;PAS;Lewisham;Trust MPS;0,83;0,85
30/06/2018;PAS;Merton;Trust MPS;0,89;0,85
30/06/2018;PAS;Newham;Trust MPS;0,86;0,85
30/06/2018;PAS;Redbridge;Trust MPS;0,85;0,85
30/06/2018;PAS;Richmond upon Thames;Trust MPS;0,93;0,85
30/06/2018;PAS;Southwark;Trust MPS;0,86;0,85
30/06/2018;PAS;Sutton;Trust MPS;0,92;0,85
30/06/2018;PAS;Tower Hamlets;Trust MPS;0,86;0,85
30/06/2018;PAS;Waltham Forest;Trust MPS;0,76;0,85
30/06/2018;PAS;Wandsworth;Trust MPS;0,89;0,85
30/06/2018;PAS;City of Westminster;Trust MPS;0,92;0,85
30/09/2018;PAS;Barking and Dagenham;Trust MPS;0,82;0,85
30/09/2018;PAS;Barnet;Trust MPS;0,87;0,85
30/09/2018;PAS;Bexley;Trust MPS;0,89;0,85
30/09/2018;PAS;Brent;Trust MPS;0,83;0,85
30/09/2018;PAS;Bromley;Trust MPS;0,88;0,85
30/09/2018;PAS;Camden;Trust MPS;0,87;0,85
30/09/2018;PAS;Croydon;Trust MPS;0,79;0,85
30/09/2018;PAS;Ealing;Trust MPS;0,87;0,85
30/09/2018;PAS;Enfield;Trust MPS;0,79;0,85
30/09/2018;PAS;Greenwich;Trust MPS;0,87;0,85
30/09/2018;PAS;Hackney;Trust MPS;0,83;0,85
30/09/2018;PAS;Hammersmith and Fulham;Trust MPS;0,89;0,85
30/09/2018;PAS;Haringey;Trust MPS;0,74;0,85
30/09/2018;PAS;Harrow;Trust MPS;0,81;0,85
30/09/2018;PAS;Havering;Trust MPS;0,86;0,85
30/09/2018;PAS;Hillingdon;Trust MPS;0,84;0,85
30/09/2018;PAS;Hounslow;Trust MPS;0,87;0,85
30/09/2018;PAS;Islington;Trust MPS;0,85;0,85
30/09/2018;PAS;Kensington and Chelsea;Trust MPS;0,91;0,85
30/09/2018;PAS;Kingston upon Thames;Trust MPS;0,88;0,85
30/09/2018;PAS;Lambeth;Trust MPS;0,84;0,85
30/09/2018;PAS;Lewisham;Trust MPS;0,81;0,85
30/09/2018;PAS;Merton;Trust MPS;0,89;0,85
30/09/2018;PAS;Newham;Trust MPS;0,84;0,85
30/09/2018;PAS;Redbridge;Trust MPS;0,82;0,85
30/09/2018;PAS;Richmond upon Thames;Trust MPS;0,91;0,85
30/09/2018;PAS;Southwark;Trust MPS;0,85;0,85
30/09/2018;PAS;Sutton;Trust MPS;0,91;0,85
30/09/2018;PAS;Tower Hamlets;Trust MPS;0,85;0,85
30/09/2018;PAS;Waltham Forest;Trust MPS;0,75;0,85
30/09/2018;PAS;Wandsworth;Trust MPS;0,88;0,85
30/09/2018;PAS;City of Westminster;Trust MPS;0,91;0,85
31/12/2018;PAS;Barking and Dagenham;Trust MPS;0,83;0,84
31/12/2018;PAS;Barnet;Trust MPS;0,9;0,84
31/12/2018;PAS;Bexley;Trust MPS;0,87;0,84
31/12/2018;PAS;Brent;Trust MPS;0,82;0,84
31/12/2018;PAS;Bromley;Trust MPS;0,88;0,84
31/12/2018;PAS;Camden;Trust MPS;0,85;0,84
31/12/2018;PAS;Croydon;Trust MPS;0,78;0,84
31/12/2018;PAS;Ealing;Trust MPS;0,85;0,84
31/12/2018;PAS;Enfield;Trust MPS;0,79;0,84
31/12/2018;PAS;Greenwich;Trust MPS;0,84;0,84
31/12/2018;PAS;Hackney;Trust MPS;0,79;0,84
31/12/2018;PAS;Hammersmith and Fulham;Trust MPS;0,88;0,84
31/12/2018;PAS;Haringey;Trust MPS;0,74;0,84
31/12/2018;PAS;Harrow;Trust MPS;0,83;0,84
31/12/2018;PAS;Havering;Trust MPS;0,83;0,84
31/12/2018;PAS;Hillingdon;Trust MPS;0,82;0,84
31/12/2018;PAS;Hounslow;Trust MPS;0,89;0,84
31/12/2018;PAS;Islington;Trust MPS;0,85;0,84
31/12/2018;PAS;Kensington and Chelsea;Trust MPS;0,92;0,84
31/12/2018;PAS;Kingston upon Thames;Trust MPS;0,89;0,84
31/12/2018;PAS;Lambeth;Trust MPS;0,83;0,84
31/12/2018;PAS;Lewisham;Trust MPS;0,81;0,84
31/12/2018;PAS;Merton;Trust MPS;0,87;0,84
31/12/2018;PAS;Newham;Trust MPS;0,85;0,84
31/12/2018;PAS;Redbridge;Trust MPS;0,84;0,84
31/12/2018;PAS;Richmond upon Thames;Trust MPS;0,91;0,84
31/12/2018;PAS;Southwark;Trust MPS;0,83;0,84
31/12/2018;PAS;Sutton;Trust MPS;0,89;0,84
31/12/2018;PAS;Tower Hamlets;Trust MPS;0,86;0,84
31/12/2018;PAS;Waltham Forest;Trust MPS;0,79;0,84
31/12/2018;PAS;Wandsworth;Trust MPS;0,87;0,84
31/12/2018;PAS;City of Westminster;Trust MPS;0,91;0,84
31/03/2019;PAS;Barking and Dagenham;Trust MPS;0,83;0,84
31/03/2019;PAS;Barnet;Trust MPS;0,89;0,84
31/03/2019;PAS;Bexley;Trust MPS;0,84;0,84
31/03/2019;PAS;Brent;Trust MPS;0,81;0,84
31/03/2019;PAS;Bromley;Trust MPS;0,88;0,84
31/03/2019;PAS;Camden;Trust MPS;0,84;0,84
31/03/2019;PAS;Croydon;Trust MPS;0,8;0,84
31/03/2019;PAS;Ealing;Trust MPS;0,87;0,84
31/03/2019;PAS;Enfield;Trust MPS;0,81;0,84
31/03/2019;PAS;Greenwich;Trust MPS;0,83;0,84
31/03/2019;PAS;Hackney;Trust MPS;0,77;0,84
31/03/2019;PAS;Hammersmith and Fulham;Trust MPS;0,87;0,84
31/03/2019;PAS;Haringey;Trust MPS;0,74;0,84
31/03/2019;PAS;Harrow;Trust MPS;0,84;0,84
31/03/2019;PAS;Havering;Trust MPS;0,82;0,84
31/03/2019;PAS;Hillingdon;Trust MPS;0,81;0,84
31/03/2019;PAS;Hounslow;Trust MPS;0,87;0,84
31/03/2019;PAS;Islington;Trust MPS;0,83;0,84
31/03/2019;PAS;Kensington and Chelsea;Trust MPS;0,91;0,84
31/03/2019;PAS;Kingston upon Thames;Trust MPS;0,86;0,84
31/03/2019;PAS;Lambeth;Trust MPS;0,83;0,84
31/03/2019;PAS;Lewisham;Trust MPS;0,83;0,84
31/03/2019;PAS;Merton;Trust MPS;0,89;0,84
31/03/2019;PAS;Newham;Trust MPS;0,85;0,84
31/03/2019;PAS;Redbridge;Trust MPS;0,82;0,84
31/03/2019;PAS;Richmond upon Thames;Trust MPS;0,91;0,84
31/03/2019;PAS;Southwark;Trust MPS;0,8;0,84
